user,device,time,battery_level,battery_status,battery_health,battery_adaptor
jd9INuQ5BBlW,3p83yASkOb_B,1578541903.748,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578541946.829,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578541960.378,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542156.083,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542156.239,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542164.39,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542164.557,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542173.818,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542184.835,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542349.783,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542349.924,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542357.998,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542372.808,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542595.428,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542615.228,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542878.348,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542878.678,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542885.578,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542888.028,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542932.842,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542932.997,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542941.821,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578542972.031,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543412.439,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543422.478,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543589.938,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543590.101,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543600.115,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543600.403,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543609.343,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543609.504,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543615.889,100,2,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543621.335,100,5,2,2
jd9INuQ5BBlW,3p83yASkOb_B,1578543714.813,100,2,2,2
