time,double_latitude,double_longitude,double_speed,user
1364616209,43.7066533,-72.2889924,0.0,gps_u01
1364617409,43.7066789,-72.2891444,0.0,gps_u01
1364618609,43.7066488,-72.2890591,0.0,gps_u01
1364619809,43.7066535,-72.2890035,0.0,gps_u01
1364621005,43.70674053,-72.28929574,0.0,gps_u01
1364622205,43.70686259,-72.28914729,0.0,gps_u01
1364623409,43.7066573,-72.2890955,0.0,gps_u01
1364624604,43.70692552,-72.28947584,0.75,gps_u01
1364625804,43.70694356,-72.28912486,0.0,gps_u01
1364627005,43.70671418,-72.2892267,0.0,gps_u01
1364628209,43.7066962,-72.2891101,0.0,gps_u01
1364629409,43.7066931,-72.289122,0.0,gps_u01
1364630603,43.70668161,-72.28929323,0.0,gps_u01
1364631809,43.7066621,-72.2891284,0.0,gps_u01
1364633002,43.70677452,-72.28907323,1.118034,gps_u01
1364634203,43.70668397,-72.28940339,1.0,gps_u01
1364635403,43.70686261,-72.28913511,0.0,gps_u01
1364636603,43.70674844,-72.28896022,0.0,gps_u01
1364637803,43.70688437,-72.28925208,0.0,gps_u01
1364639003,43.70666324,-72.2893016,0.0,gps_u01
1364640210,43.70672485,-72.28925809,0.559017,gps_u01
1364641411,43.70685722,-72.28908173,0.0,gps_u01
1364642611,43.7068327,-72.28912254,0.0,gps_u01
1364643811,43.70669102,-72.2891389,0.0,gps_u01
1364645011,43.7067224,-72.28950274,0.0,gps_u01
1364646211,43.70683818,-72.28933947,0.0,gps_u01
1364647409,43.7066731,-72.289097,0.0,gps_u01
1364648610,43.70674636,-72.28915043,0.0,gps_u01
1364649809,43.7066687,-72.289064,0.0,gps_u01
1364651010,43.70680782,-72.28892482,0.0,gps_u01
1364652209,43.7066798,-72.2890815,0.0,gps_u01
1364653410,43.70683217,-72.28919317,0.0,gps_u01
1364654609,43.7066824,-72.2890735,0.0,gps_u01
1364655808,43.70678439,-72.28898274,0.5,gps_u01
1364657010,43.70677676,-72.28902977,0.0,gps_u01
1364659409,43.7042611,-72.2891107,0.0,gps_u01
1364660609,43.7066374,-72.2890509,0.0,gps_u01
1364661809,43.70667,-72.2890603,0.0,gps_u01
1364663009,43.7066541,-72.2890008,0.0,gps_u01
